Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),EPI,Infant mortality rate,Education Index,Total
United Arab Emirates,144th,3.1,3.6,3.9,2.9,4.2,2.5,6.6,2.7,7.1,4.5,2.2,2.9,6.03,6.03,7.44,8.0635,3.97,4.94,Stable
Spain,151st,3.3,6.1,5.8,5,4,2.4,3.3,2.7,1.9,2.5,1.7,2.2,4.31,4.31,7.31,7.38,4.23,3.74,Stable
Montenegro,132nd,4,6.3,7.3,4.6,2.9,3.6,4,3.6,4.2,3.3,4.5,5.9,7.79,7.79,6.31,6.1075,1.22,7.25,Stable
Qatar,143rd,2.5,5,4.6,2.6,5.2,3.1,6,1.8,6.2,4.3,1.8,3.2,5.15,5.15,7.76,6.742,1.85,4.22,Stable
Chile,150th,3.1,1.7,4.1,3.6,5.1,3.2,3,4.5,3.4,5.1,2.1,2.6,3.94,3.94,5.16,5.9715,8.67,2.8,Stable
Costa Rica,142nd,3.1,3.8,4.7,4.3,5.5,3.5,2.9,4.5,2.1,4.1,3.9,4.3,4.25,4.25,5.87,4.0005,7.65,4.57,Stable
Bahamas,136th,4,4.5,4.1,4.7,5,5,4.3,4.4,3,6.1,2.8,3.7,7.58,7.58,7.08,3.1145,2.89,7.23,Stable
Panama,131st,5.1,2.5,5.6,3.4,7.3,4,4,5.5,4.8,5.7,3.5,3.2,5.25,5.25,6.14,6.024,1.94,4.75,Stable
Latvia,140th,3.5,4.3,7.4,4,4.6,4.4,3.9,3.4,3,3.4,2.9,3.8,5.86,5.86,6.6,6.3035,2.07,5.9,Stable
Estonia,146th,3.1,5.5,6.5,3.6,3.7,3.5,3.2,3.4,2,3.3,2.9,3.1,5.82,5.82,5.76,5.5325,7.03,4.39,Stable
Poland,153rd,2.3,3.8,4.4,4.1,3.5,4.4,3.2,2.8,2.5,3.3,2.8,2.7,6.78,6.78,7.27,5.453,6.74,6.55,Stable
Argentina,141st,3.6,2.8,5,4.9,5.4,3,4.7,4.3,4.1,3.8,2,4,7.84,7.84,7.61,3.4425,0.61,6.95,Stable
Italy,147th,4.4,4.9,4.9,5.6,3.4,2,4.2,2.3,2.5,3.1,3.7,2.2,6.49,6.49,6.94,6.9625,0.31,5,Stable
Mauritius,145th,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2,7.87,7.87,6.28,5.4805,0.78,7,Stable
Czech Republic,154th,2.6,4.3,3.8,4.8,3.2,2.8,4.2,3.1,2.1,1.9,2,2.6,8.75,8.75,7.86,4.4875,0.29,8.78,Stable
Slovak Republic,149th,2.3,3.7,5.9,5.1,4,4.2,3.7,2.9,2.7,2.8,2,3.3,7.2,7.2,7.51,6.6485,0.87,6.57,Stable
South Korea,156th,2.1,3.8,3.4,2,3.5,3.5,3.3,2.4,2.6,2.8,1.5,5.4,7.75,7.75,6.65,7.3375,3.55,7.6,Stable
France,160th,2.3,1.9,6.8,4.8,3.7,2.2,1.8,1.5,2.3,2.8,2.2,1.4,7.34,7.34,7,5.2195,1.94,7.77,Stable
Malta,151st,3.4,2,3.9,4.2,2.9,4,3.9,2.3,3.3,2.8,4.6,3.6,5.11,5.11,8.17,5.593,4.51,4.92,Stable
Lithuania,148th,3,3,4.3,5,5,4.2,3.2,4,2.4,3.3,2.6,3,8.28,8.28,6.62,3.4165,0.72,8.35,Stable
