Country,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Prison Population,Homeless People due to Natural Disaster,Life expectancy at birth (years),EPI,Infant mortality rate,Education Index,Total
Russia,65th,9.1,8.1,9.3,4.4,6.4,4.5,7.9,4.7,8.9,5.1,5.7,5.9,7.37,7.37,7.29,6.688,4.57,6.71,Warning
Malawi,44th,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1,7.19,7.19,6.09,4.548,1.19,6.16,Warning
China,83rd,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2,8.45,8.45,8.17,4.76,0.72,7.84,Warning
Senegal,60th,6.2,6.6,6.3,7.3,7.3,7.4,5.5,7.9,6.2,8,7.8,6.5,7.98,7.98,7.82,5.023,0.3,7.64,Warning
Turkey,89th,7.7,7.3,9,5,6.2,3.7,6.3,4.9,6.4,5.5,7.5,5,6.25,6.25,8.3,8.2365,4.58,6.58,Warning
Mexico,99th,8,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5,7.01,7.01,7.47,6.428,7.59,5.61,Warning
Bhutan,74th,5,7.5,7.9,5.7,6.9,6.8,5,6.6,6.5,6,6.9,7.9,4.81,4.81,5.96,3.688,6.57,4.08,Warning
Morocco,89th,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7,5.5,5.3,6,7.58,7.58,7.44,6.218,1.19,6.49,Warning
Ukraine,84th,7.9,8,7,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1,7.46,7.46,6.5,7.91,1.17,6.73,Warning
Dominican Republic,104th,5.2,6.2,5.8,5.3,6.3,7.6,6,6.8,5.5,6.8,3.8,5.9,4.7,4.7,6.2,5.886,5.58,3.1,Warning
Paraguay,103rd,6.5,7.8,5.9,5.1,8.4,5.2,7.1,6.7,6.1,5.9,2.2,4.4,7.95,7.95,8.16,6.331,7.15,6.48,Warning
Suriname,109th,5.4,5.8,5.8,6.8,6.6,7.3,5.5,5.8,4.9,5.3,3,6.2,8.88,8.88,7.63,7.5395,9.02,8.86,Warning
Guyana,107th,5.8,5.1,6.5,6.2,6.2,9.1,5.9,6.1,3.9,5.6,3.6,6.5,4.14,4.14,5.88,7.196,6.28,3.3,Warning
Belarus,87th,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8,7.94,7.94,7.56,4.9805,1.23,7.73,Warning
Nicaragua,72nd,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3,5.52,5.52,5.51,6.764,5.85,4.1,Warning
Fiji,82nd,6.7,7.9,7,6.7,6.8,7.6,7.4,4.5,6.9,4.7,3.4,7.2,8.63,8.63,7.68,3.19,0.25,8.76,Warning
Tunisia,86th,7.8,8.1,7.8,6.6,5.4,5.5,7,4.9,7,4.7,4.1,6.9,5.53,5.53,8.22,8.2215,1.95,4.36,Warning
Ghana,100th,4.1,4.9,4.6,6.3,7.1,7.6,5,7.9,5.2,7.1,5.5,6.6,7.68,7.68,7.49,4.7265,1.13,7.94,Warning
Guatemala,64th,7,6,7.9,6,8,6.7,6.6,7.4,6.6,7.3,5.5,5.4,8.65,8.65,8.09,3.399,0.37,8.3,Warning
Saudi Arabia,101st,6.4,8,7.4,4.4,5.8,3.7,7.8,3.7,9.2,5.8,4.6,4.8,8.55,8.55,8.09,7.4605,0.45,6.98,Warning
Azerbaijan,80th,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9,8.92,8.92,8.14,4.1715,0.3,8.2,Warning
Benin,73rd,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6,7.1,7.06,7.06,7,3.4575,1.46,7.04,Warning
Indonesia,88th,6.2,7,7.3,5.2,6.3,6.3,5.6,6,6.8,7.1,5.9,5.3,8.34,8.34,7.52,6.7015,0.16,8.35,Warning
Turkmenistan,78th,6.8,7.8,7.1,5,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6,5.19,5.19,6.96,7.989,0.24,4.2,Warning
Serbia,92nd,6,8,8.1,6.7,5.3,5.3,5.7,4.7,4.9,5.5,7,6.6,8.05,8.05,7.47,7.744,0.7,8.16,Warning
Lesotho,66th,5.6,7.3,4.4,8.3,7.3,7.4,6.4,8,4.8,7.7,4.9,7.8,7.99,7.99,8.19,2.855,0.77,6.11,Warning
Sao Tome and Principe,93rd,5.5,6.3,4.5,8.4,6.5,7.9,6.1,5.8,3.8,6.7,4.3,7.9,8.41,8.41,7.74,5.796,2.28,7.56,Warning
Ecuador,85th,6.7,8.2,7.8,5.3,6.8,6.2,7,6.3,5.1,5.7,5.2,5.6,7.24,7.24,7.78,4.899,1.95,6.15,Warning
